CreditRating,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
A,0.0,9.994290111371224e-05,0.013674134481051202,0.02067073355058603,0.03694296898788852,0.008285069014930998,0.0,0.0,0.0,0.0
A+,0.0,5.077009076813678e-06,0.009873376328123377,0.029354787916970475,0.03386459985742501,0.012000032292869162,0.0,0.0,0.0,0.0
AA,0.0,0.005639896728668641,0.009201257751292198,0.010433357829192505,0.0066859724825326875,0.030524968614286614,0.0026613611659591753,0.0,0.0,0.0
AA+,0.0,0.002230383370124989,0.013632154135456098,0.025521767098297093,0.048947130455330286,0.008608956698633739,0.0,0.0,0.0,0.0
AA-,0.0,0.004124330361198569,0.014287841675585465,0.03832119609458312,0.03719603010441275,0.0011500173380556322,0.0,0.0,0.0,0.0
AAA,0.0,0.007313715813737969,0.027440174845097857,0.053954726887391814,0.11781790021270447,0.06583023654886982,0.03590785163717341,0.007457217746956928,0.0,0.0
SOV,0.0,0.004216291585641221,0.03131216059228202,0.1573410916693221,0.20646670262459443,0.2722538848667168,0.2802173881338258,0.9110587453763552,1.1962689091835064,0.4043333173644315
