Case_Study,Yield_Change_bps,Duration_PnL_INR,Convexity_PnL_INR,Estimated_Total_PnL_INR,Duration_Contribution_%,Convexity_Contribution_%
RBI 2022-23 Rate Hike,46.99999999999997,-633322.7617970619,15601.871304288727,-617720.8904927731,102.52571534238429,-2.5257153423842733
SVB Collapse,-11.000000000000032,148224.47616527032,854.6068029963552,149079.08296826668,99.4267426482773,0.5732573517226885
Indian Gilt Rally 2019-20,-133.0,1792168.6663618996,124935.03915869787,1917103.7055205975,93.4831361079253,6.5168638920746975
