Yield_Change_bps,Yield_Change,Analytical_Price_Change,Analytical_Price
-200.0,-0.02,3.7479943140080003,102.753194314008
-191.83673469387756,-0.019183673469387756,3.591601903170543,102.59680190317054
-183.6734693877551,-0.01836734693877551,3.435499964765597,102.4406999647656
-175.51020408163265,-0.017551020408163264,3.279688498793166,102.28488849879317
-167.3469387755102,-0.01673469387755102,3.1241675052532476,102.12936750525326
-159.18367346938777,-0.015918367346938776,2.9689369841458424,101.97413698414584
-151.0204081632653,-0.01510204081632653,2.81399693547095,101.81919693547096
-142.85714285714286,-0.014285714285714285,2.6593473592285717,101.66454735922858
-134.69387755102042,-0.013469387755102043,2.5049882554187057,101.51018825541871
-126.53061224489795,-0.012653061224489795,2.350919624041353,101.35611962404136
-118.36734693877551,-0.01183673469387755,2.1971414650965126,101.20234146509651
-110.20408163265306,-0.011020408163265306,2.043653778584187,101.04885377858419
-102.0408163265306,-0.01020408163265306,1.890456564504373,100.89565656450438
-93.87755102040816,-0.009387755102040816,1.737549822857073,100.74274982285708
-85.71428571428571,-0.00857142857142857,1.5849335536422857,100.59013355364229
-77.55102040816327,-0.007755102040816327,1.4326077568600117,100.43780775686001
-69.38775510204081,-0.0069387755102040816,1.2805724325102508,100.28577243251026
-61.22448979591837,-0.006122448979591837,1.1288275805930028,100.134027580593
-53.061224489795904,-0.00530612244897959,0.977373201108268,99.98257320110827
-44.897959183673464,-0.004489795918367346,0.8262092940560465,99.83140929405604
-36.734693877551024,-0.0036734693877551023,0.6753358594363383,99.68053585943635
-28.571428571428555,-0.0028571428571428554,0.5247528972491425,99.52995289724915
-20.408163265306115,-0.0020408163265306116,0.3744604074944605,99.37966040749447
-12.244897959183675,-0.0012244897959183675,0.22445839017229158,99.22965839017229
-4.081632653061206,-0.00040816326530612057,0.07474684528263523,99.07994684528263
4.081632653061234,0.00040816326530612344,-0.07467422717450747,98.93052577282549
12.244897959183675,0.0012244897959183675,-0.22380482719913705,98.78139517280087
20.408163265306115,0.0020408163265306116,-0.37264495479125354,98.63255504520875
28.571428571428584,0.0028571428571428584,-0.5211946099508574,98.48400539004915
36.734693877551024,0.0036734693877551023,-0.6694537926779476,98.33574620732206
44.897959183673464,0.004489795918367346,-0.8174225029725247,98.18777749702748
53.06122448979593,0.005306122448979593,-0.9651007408345893,98.04009925916542
61.22448979591837,0.006122448979591837,-1.11248850626414,97.89271149373586
69.38775510204084,0.006938775510204084,-1.2595857992611783,97.74561420073883
77.55102040816325,0.007755102040816325,-1.4063926198257024,97.59880738017429
85.71428571428572,0.008571428571428572,-1.5529089679577146,97.45229103204228
93.87755102040819,0.00938775510204082,-1.6991348436572136,97.30606515634278
102.0408163265306,0.01020408163265306,-1.845070246924198,97.16012975307581
110.20408163265307,0.011020408163265306,-1.9907151777586705,97.01448482224133
118.36734693877554,0.011836734693877554,-2.1360696361606304,96.86913036383937
126.53061224489795,0.012653061224489795,-2.2811336221300755,96.72406637786993
134.69387755102042,0.013469387755102043,-2.425907135667009,96.579292864333
142.8571428571429,0.014285714285714289,-2.5703901767714292,96.43480982322858
151.0204081632653,0.01510204081632653,-2.714582745443335,96.29061725455666
159.18367346938777,0.015918367346938776,-2.8584848416827286,96.14671515831728
167.34693877551024,0.016734693877551023,-3.00209646548961,96.00310353451039
175.51020408163265,0.017551020408163264,-3.145417616863976,95.85978238313602
183.67346938775512,0.018367346938775512,-3.288448295805831,95.71675170419417
191.8367346938776,0.01918367346938776,-3.431188502315173,95.57401149768484
200.0,0.02,-3.5736382363920005,95.431561763608
