Yield_Change_bps,Yield_Change,Analytical_Price_Change,Analytical_Price,RF_Price,XGB_Price,NN_Price,RF_Price_Change,XGB_Price_Change,NN_Price_Change,Analytical_Price_Change_pct,RF_Price_Change_pct,XGB_Price_Change_pct,NN_Price_Change_pct
-200.0,-0.02,3.7479943140080003,102.753194314008,98.84178649999986,99.36273,108.30691596425396,-0.16341350000014643,0.3575287,9.301715964253958,3.785654,-0.16505547183395056,0.3611211,9.395179207005246
-191.83673469387756,-0.019183673469387756,3.591601903170543,102.59680190317054,98.84178649999986,99.36273,107.89271632860896,-0.16341350000014643,0.3575287,8.887516328608953,3.627690164931279,-0.16505547183395056,0.3611211,8.97681771119997
-183.6734693877551,-0.01836734693877551,3.435499964765597,102.4406999647656,98.84178649999986,99.36273,107.55432997364541,-0.16341350000014643,0.3575287,8.549129973645407,3.4700197209496033,-0.16505547183395056,0.3611211,8.635031264666306
-175.51020408163265,-0.017551020408163264,3.279688498793166,102.28488849879317,98.83735299999985,99.36273,107.22184327570882,-0.16784700000015107,0.3575287,8.216643275708819,3.312642668054977,-0.16953351945165612,0.3611211,8.299203754660178
-167.3469387755102,-0.01673469387755102,3.1241675052532476,102.12936750525326,98.83735299999985,99.36273,106.82597500347502,-0.16784700000015107,0.3575287,7.8207750034750205,3.1555590062473966,-0.16953351945165612,0.3611211,7.899357815018828
-159.18367346938777,-0.015918367346938776,2.9689369841458424,101.97413698414584,98.83735299999985,99.36273,106.43010673124122,-0.16784700000015107,0.3575287,7.424906731241222,2.9987687355268635,-0.16953351945165612,0.3611211,7.499511875377478
-151.0204081632653,-0.01510204081632653,2.81399693547095,101.81919693547096,98.83735299999985,99.36273,106.05243724891916,-0.16784700000015107,0.3575287,7.04723724891916,2.8422718558933773,-0.16953351945165612,0.3611211,7.118047586307749
-142.85714285714286,-0.014285714285714285,2.6593473592285717,101.66454735922858,98.83252299999985,99.36273,105.68783348021528,-0.1726770000001494,0.3575287,6.682633480215273,2.686068367346939,-0.17441205108433638,0.3611211,6.749780294585812
-134.69387755102042,-0.013469387755102043,2.5049882554187057,101.51018825541871,98.83522549999985,99.36273,105.26497363707253,-0.16997450000015135,0.3575287,6.259773637072527,2.530158269887547,-0.17168239648033776,0.3611211,6.322671573889581
-126.53061224489795,-0.012653061224489795,2.350919624041353,101.35611962404136,98.83115049999986,99.36273,104.84211379392978,-0.1740495000001374,0.3575287,5.8369137939297815,2.3745415635152023,-0.17579834190541246,0.3611211,5.895562853193349
-118.36734693877551,-0.01183673469387755,2.1971414650965126,101.20234146509651,98.78712049999984,99.36273,104.4260284923504,-0.21807950000015808,0.3575287,5.420828492350395,2.2192182482299034,-0.22027075345553374,0.3611211,5.475296744363321
-110.20408163265306,-0.011020408163265306,2.043653778584187,101.04885377858419,98.80971299999983,99.36273,104.02026845603507,-0.1954870000001705,0.3575287,5.015068456035067,2.0641883240316536,-0.1974512449852841,0.3611211,5.065459648619534
-102.0408163265306,-0.01020408163265306,1.890456564504373,100.89565656450438,98.80971299999983,99.36273,103.61749903921513,-0.1954870000001705,0.3575287,4.612299039215131,1.9094517909204494,-0.1974512449852841,0.3611211,4.658643221987462
-93.87755102040816,-0.009387755102040816,1.737549822857073,100.74274982285708,98.80971299999983,99.36273,103.24434046959412,-0.1954870000001705,0.3575287,4.239140469594119,1.7550086488962933,-0.1974512449852841,0.3611211,4.281735171075983
-85.71428571428571,-0.00857142857142857,1.5849335536422857,100.59013355364229,98.77219799999983,99.36273,102.87938393315751,-0.23300200000016957,0.3575287,3.8741839331575108,1.6008588979591836,-0.2353431940950269,0.3611211,3.913111567026288
-77.55102040816327,-0.007755102040816327,1.4326077568600117,100.43780775686001,98.77219799999983,99.36273,102.51442739672089,-0.23300200000016957,0.3575287,3.5092273967208882,1.4470025381091212,-0.2353431940950269,0.3611211,3.5444879629765795
-69.38775510204081,-0.0069387755102040816,1.2805724325102508,100.28577243251026,98.77219799999983,99.36273,102.1494708602843,-0.23300200000016957,0.3575287,3.144270860284294,1.2934395693461058,-0.2353431940950269,0.3611211,3.175864358926899
-61.22448979591837,-0.006122448979591837,1.1288275805930028,100.134027580593,98.77219799999983,99.36273,101.78451432384769,-0.23300200000016957,0.3575287,2.779314323847686,1.1401699916701373,-0.2353431940950269,0.3611211,2.807240754877204
